"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2015","1.5","0.7","1","0.818181818181818","0.6875","0.235294117647059","0.818181818181818","0.615384615384615","1.08108108108108","1.22881355932203"
"2016","0.230769230769231","0.0379746835443038","0.310344827586207","0.171348314606742","0.08","0.0993788819875776","0.0454545454545455","0.258620689655172","0.385542168674699","0.0942028985507246"
"2017","0","0.208333333333333","1","1.25925925925926","0.111111111111111","0.736842105263158","0.414634146341463","0.323232323232323","0.50887573964497","0.879032258064516"
"2018","0.172413793103448","0.32","0.363636363636364","0.530864197530864","0.1","0.373015873015873","0.0958904109589041","0.116504854368932","0.137931034482759","0.113821138211382"
"2019","0.09375","0.503496503496504","0.375","0.465648854961832","0.428571428571429","0.381720430107527","0.659090909090909","0.425101214574899","0.362275449101796","0.794392523364486"
"2020","0.173913043478261","0.12621359223301","0.176470588235294","0.0970149253731343","0.0991735537190083","0.0640394088669951","0","0.22972972972973","0.0380116959064327","0.040650406504065"
"lbi_epitope_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","0.2","0","0.333333333333333","0.285714285714286","0.2","0","0.25","0.157894736842105","0.4","0.303030303030303"
"2014","1","0.916666666666667","0.333333333333333","1.19148936170213","0.714285714285714","0.721311475409836","1.76923076923077","1.19230769230769","1.13502109704641","1.2"
"2015","2.5","1.7","2","1.72727272727273","1.6875","1.23529411764706","1.81818181818182","1.61538461538462","2.08108108108108","2.22881355932203"
"2016","1.88461538461538","1.9873417721519","1.89655172413793","2.09831460674157","2.08","2.05590062111801","2.04545454545455","1.86781609195402","2.31726907630522","2.06521739130435"
"2017","0","0.208333333333333","1","1.25925925925926","0.111111111111111","0.736842105263158","0.414634146341463","0.323232323232323","0.50887573964497","0.879032258064516"
"2018","0.172413793103448","0.32","0.363636363636364","0.530864197530864","0.1","0.373015873015873","0.0958904109589041","0.116504854368932","0.137931034482759","0.113821138211382"
"2019","0.09375","0.503496503496504","0.375","0.465648854961832","0.428571428571429","0.381720430107527","0.659090909090909","0.425101214574899","0.362275449101796","0.794392523364486"
"2020","3.8695652173913","3.93203883495146","3.94117647058824","4.03731343283582","3.95867768595041","4.02955665024631","4","3.89189189189189","4.02923976608187","4.03252032520325"
